a	một cái, một con 
accumulate	tích luỹ   
accuracy	sự chính xác  
accurate	xác đáng   
accursal	sự kết tội  
accurst	đáng nguyền rủa  
accusation	sự kết tội  
accuser	uỷ viên công tố 
accustom	tập cho quen  
ace	quân át   
acerbity	vị chát   
acescent	chua    
acetification	sự hoá giấm  
ache	sự đau   
achievable	có thể đạt được 
achieve	đạt được   
achromatic	không màu   
acicular	hình kim   
acid-proof	chịu axit   
acknowledge	công nhận   
acme	tột đỉnh   
acoustics	âm học   
acquaint	làm quen   
acquaintance	sự hiểu biết  
acquaintanceshipsự	quen biết   
acquest	vật kiếm được  
acquiesce	bằng lòng   
acquire	giành được   
acquit	trang trải   
acre	mẫu Anh   
acrimonious	gay gắt   
acrobat	người biểu diễn leo dây
acrobatically	tài tình   
across	ngang qua   
act	hành động   
action	hành vi   
active	tích cực   
activity	sự hoạt động  
actor	diễn viên   
actress	nữ diễn viên  
actual	thật sự   
actualize	thực hiện   
actually	quả thật   
actuate	thúc đẩy   
acute	sắc    
adamant	kỉ cương   
adamantine	rắn như kim cương 
adapt	tra vào   
adapter	thiết bị tiếp hợp 
add	cộng,thêm    
addict	nghiện    
addiction	sự say mê  
addle	lẫn    
addle-brainedđầu	óc lẫn quẫn  
address	địa chỉ   
adduce	viện dẫn   
adept	người tinh thông  
adequacy	sự đầy đủ  
adequate	đầy đủ   
adequation	sự san bằng  
adhere	dính chặt vào  
adieu	vĩnh biệt   
adjudgement	sự kết án  
adjust	điều chỉnh   
adjuvant	phụ tá   
admeasure	quy định từng phần 
administer	sự quản lý  
admire	say mê   
admission	sự nhận vào  
admit	nhận vào   
admonish	khiển trách   
adopt	nhận làm con nuôi 
adorable	đáng yêu   
adorn	tô điểm   
adrift	lênh đênh trôi giạt 
adroit	khéo léo   
adulate	nịnh hót   
adult	người lớn   
advance	sự tiến bộ  
advanced	tiên tiến   
advantage	thế lợi   
adventure	phiêu lưu   
adverb	phó từ   
adversary	kẻ thù   
advertisement	bài quảng cáo  
advice	lời khuyên   
advise	khuyên bảo   
advocate	biện hộ   
aerate	làm thông khí  
affair	chuyện vấn đề  
affect	ảnh hưởng   
affined	có quan hệ họ hàng
affirm	khẳng định   
afflict	làm đau đớn  
affluent	dồi dào   
afford	có đủ khả năng 
afforest	trồng cây gây rừng 
affranchise	giải phóng   
affray	sự huyên náo  
affront	sự lăng mạ  
affusion	sự rảy nước  
afraid	hoảng sợ   
african	người Châu phi  
afrikaans	người Nam phi  
after	đằng sau   
after-care	sự chăm sóc sau thời
after-effect	hậu quả   
after-grass	cỏ mọc lại  
after-life	kiếp sau   
afterbirth	nhau thai   
afterclap	việc hậu phát  
afternoon	buổi chiều   
afterward	về sau   
afterword	lời bạt   
afterworld	thế giới bên kia 
again	lại    
age	tuổi    
agelong	đời đời   
agency	cơ quan   
agenda	chương trình nghị sự 
agent	tác nhân   
aggregation	sự tập hợp  
aggregative	kết tập   
aggress	gây sự   
aggressive	hung hăng   
aghast	kinh ngạc   
agile	nhanh nhẩu   
ago	về trước   
agree	đồng ý   
agrestic	quê mùa   
agricultural	nông nghiệp   
agronomist	nhà nông học  
aground	mắc cạn   
ague	cơn sốt rét  
ah	chà!    
ahead	về phía trước  
aid	sự viện trợ  
ail	làm đau đớn  
aim	mục tiêu   
air	không khí   
air	force không quân  
air	raid cuộc oanh tạc bằng
air-balloon	khí cầu   
air-bed	nệm hơi   
air-bladder	bong bóng hơi  
air-blast	luồng không khí  
air-boat	thuyền bay   
air-conditioner	điều hoà   
air-line	đường hàng không  
air-port	sân bay   
air-proof	kín gió   
air-pump	bơm hơi   
aircraft	máy bay   
airman	phi công   
airy	thoáng khí   
aisle	lối đi giữa các dãy
ait	cù lao   
aitchbone	xương đùi (bò)  
alarm	sự báo nguy  
alarm-clock	đồng hồ báo thức 
album	quyển anbom   
alchemist	nhà giả kim  
alcohol	rượu cồn   
alcoran	kinh Co-ran   
ale-wife	bà chủ quán bia 
alert	tỉnh táo   
algebra	đại số học  
algidity	sự cảm hàn  
alien	người ngoài hành tinh 
align	sắp hàng   
alike	tương tự   
alive	còn sống   
all	tất cả   
all	right tốt   
all-around	toàn diện   
all-embracing	bao gồm tất cả 
allocate	cấp cho   
allot	phân công   
allow	cho phép   
alloy	hợp kim   
allude	nói bóng gió  
allure	sức quyến rũ  
ally	nước đồng minh  
almanack	niên giám   
almighty	toàn năng   
almond	quả hạnh   
almost	hầu như   
aloe	cây lô hội  
aloft	ở trên cao  
aloneness	tình trạng cô độc 
along	suốt theo   
aloud	lớn tiếng   
alp	ngọn núi   
alphabet	bảng chữ cái  
already	đã, rồi   
also	cũng    
alt	nốt cao   
altar	bàn thờ   
alter	thay đổi   
alternation	sự xen kẽ  
altogether	hoàn toàn   
alum	phèn    
always	luôn luôn   
amative	đa tình   
amaze	làm sửng sốt  
amazon	sông A-ma-zôn   
ambages	thủ đoạn quanh co 
ambassador	đại sứ   
amber	hổ phách   
ambient	bao quanh   
ambiguous	mơ hồ   
ambition	hoài bão   
ambitious	có nhiều tham vọng 
ambivalence	sự vừa yêu, vừa ghét
amble	nước kiệu   
amend	cải thiện   
amerce	bắt nộp phạt  
american	Châu Mỹ   
amiable	tử tế   
amid	trong quá trình  
amount	số lượng   
amour	chuyện tình   
amuse	làm vui   
anacard	quả đào lộn hột 
anal	hậu môn  
alogical	tương tự   
analogist	người dùng phép loại suy
analphabet	người mù chữ  
analyst	người phân tích  
analytic	phân tích   
ance	mụn trứng cá  
ancestor	tổ tiên   
ancestor-worship	sự thờ phụng tổ tiên
ancestress	tổ mẫu   
ancestry	dòng họ   
anchor	cái neo   
anchorage	sự thả neo  
ancient	xưa, cổ   
ancon	khuỷ tay   
and	và    
andante	nhịp thong thả  
andironvỉ	lò (ở lò sưởi) 
androgen	Hocmon nam   
androgyne	người ái nam ái nữ
anecdote	chuyện vặt   
anesthesia	sự gây mê  
anesthetic	thuốc tê   
anethum	cây thì là  
anew	một lần nữa  
anfractuosity	tình trạng rắc rối 
angel	thiên thần   
angelica	cây bạch chỉ  
angels-on-horseback	món sò bọc thịt mỡ
anger	sự tức giận  
angle	góc    
angry	cáu    
anil	cây chàm   
anile	ngu dại   
aniline	Anilin    
anility	tính lẩm cẩm  
animal	động vật   
animate	có sức sống  
animation	sự sản xuất phim hoạt
animator	hoạ sĩ phim hoạt hoạ
animus	tinh thần phấn chấn 
ankle	mắt cá chân  
anklet	vòng xiềng chân  
annalist	người chép sử biên niên
announce	công bố   
annoy	làm phiền   
annual	hàng năm   
annulation	sự kết thành vòng 
anon	tức khắc   
anonym	biệt hiệu   
anonymous	vô danh   
another	khác    
answer	câu trả lời  
ant	con kiến   
ant-fly	kiến cánh   
ant-heap	tổ kiến   
antechamber	phòng ngoài   
antelope	loài linh dương  
antemundane	trước lúc khai thiên lập
antenatal	trước khi sinh  
antenna	ăng-ten    
antenniform	hình anten   
anthem	bài hát vui  
anther	bao phấn   
anthesis	sự nở hoa  
anthozoa	san hô   
anthrax	bệnh than   
anti-government	chống chính phủ   
anti-icer	chất chống đóng băng
anti-imperialism	chủ nghĩa chống đế quốc
anti-personnel	sát thương   
anti-rabic	phòng bệnh dại  
anti-red-tape	chống quan liêu giấy tờ
anti-religious	chống tôn giáo  
anti-republican	chống chế độ cộng hoà
anti-rust	chống gỉ   
anti-semite	người bài Do thái 
antibiosis	sự kháng sinh  
antiquated	không hợp thời  
antique	theo lối cổ  
antirachitic	chống còi xương  
anxiety	mối lo âu  
anxious	lo âu   
any	nào đó   
anybody	một người nào đó 
anyone	bất cứ ai  
anything	bất cứ việc gì 
anyway	cách nào cũng được 
anywhere	bất cứ nơi đâu 
apart	về một bên  
apartment	căn phòng   
apatetic	nguỵ trang   
apathetic	lãnh đạm   
ape	bắt chước   
apologise	tạ lỗi   
apologist	người biện hộ  
apologize	xin lỗi   
apologue	chuyện ngụ ngôn  
apology	lời biện bạch  
appal	làm thất kinh  
apparel	y phục   
apparent	rõ ràng   
appeal	lời kêu gọi  
appearance	sự xuất hiện  
appease	an ủi   
append	cột vào   
appertain	thích hợp với  
applaud	vỗ tay hoan nghênh 
apple	quả táo   
appliance	đồ thiết bị  
applicant	người xin việc  
apply	áp dụng   
appoint	bổ nhiệm   
appreciation	sự đánh giá đúng 
apprehend	nắm lấy   
apprise	báo cho biết  
approval	sự chấp thuận  
approximate	xấp xỉ   
appui	điểm tựa   
apricot	quả mơ   
april	tháng tư   
apron	cái tạp dề  
aquarium	bể nuôi   
aquarius	cung Bảo bình  
aquatic	sống ở nước  
aquatint	thuật khắc axit  
arbor	trục chính   
arc	hình cung   
arcade	đường có mái vòm 
arch	cửa tò vò  
archaeologer	nhà khảo cổ  
archaeologist	nhà khảo cổ  
archaeology	khảo cổ học  
archaic	cổ xưa   
archaise	bắt chước cổ  
architect	kiến trúc sư  
architecture	khoa kiến trúc  
archway	lối đi có mái vòm
ardency	sự nóng cháy  
ardent	hăng hái   
area	diện tích   
arena	trường đấu   
argue	tranh cãi   
argument	sự tranh luận  
argus-eyed	rất tinh   
argute	tinh khôn   
arid	khô cằn   
aries	cung Bạch dương  
arisen	nảy sinh   
aristocrat	người quý tộc  
arithmetic	số học   
arithmetician	nhà số học  
arithmometer	máy kế toán  
ark	rương    
arm	cánh tay   
arm-in-arm	cắp tay nhau  
armada	hạm đội   
armament	lực lượng vũ trang 
armband	băng tay   
armchair	ghế bành   
armless	không có vũ khí 
armlet	vịnh nhỏ   
armour	áo giáp   
armpit	nách    
army	quân đội   
arnica	cây kim sa  
aroma	mùi thơm   
around	xung quanh   
arouse	khuấy động   
arrangement	sự sắp xếp  
array	sự bày binh bố trận
arrest	sự bắt giữ  
arrival	sự đến   
arrive	đi đến   
arrogance	tính kiêu căng  
arrogant	ngạo mạn   
arrow	mũi tên   
arrow-head	đầu mũi tên  
arsenal	kho chứa vũ khí đạn
artefact	giả tượng   
arteriosclerosis	xơ cứng động mạch 
artery	đường giao thông chính 
artful	xảo quyệt   
article	bài báo   
artificial	nhân tạo   
artisan	thợ thủ công  
artisanal	thủ công   
artist	nghệ sĩ   
arum	cây chân bê  
as	như    
ascend	thăng    
ascendancy	uy lực   
ascendant	có ưu thế  
ascribe	đổ tại   
asepsis	sự vô khuẩn  
aseptic	chất vô trùng  
asexual	sinh sản vô tính 
asexuality	tính chất vô tính 
ash	tro, tàn   
ashake	run    
ashamed	xấu hổ   
ashen	xám tro   
ashlar	đá khối   
ashy	tái nhợt   
asiatic	người Châu á  
aside	về một bên  
asinine	ngu xuẩn   
ask	hỏi    
asleep	ngủ    
aspect	diện mạo   
ass	con lừa   
assassin	sát thủ   
assault	cuộc đột kích  
assay	sự thí nghiệm  
assemblage	cuộc hội họp  
assemble	lắp ráp   
assembly	hội đồng   
assembly	line dây chuyền lắp ráp
assembly	shop phân xưởng lắp ráp
assembly-room	phòng họp hội nghị 
assent	sự phê chuẩn  
asset	tài sản   
assign	phân công   
assignment	bài tập   
assimilability	tính có thể đồng hoá
assimilator	người đồng hoá  
assimilatory	dễ tiêu hoá  
assist	giúp đỡ   
assistance	sự giúp đỡ  
assistant	người phụ tá  
associable	có thể liên tưởng 
associate	kết hợp   
assort	phân loại   
assume	cho rằng   
assure	làm cho vững tâm 
asteroid	hành tinh nhỏ  
asthenia	sự suy nhược  
asthma	bệnh hen suyễn  
astonish	làm ngạc nhiên  
astonishment	sự ngạc nhiên  
astound	làm sửng sốt  
astray	lạc lối   
astrict	hạn chế   
asynchronous	không đồng bộ  
at	ở tại   
ataxic	mất điều hoà  
ate	ăn mòn   
atelier	xưởng máy   
atheism	thuyết vô thần  
atheist	người theo thuyết vô thần
athenaeum	câu lạc bộ văn học
athirst	khao khát   
athlete	vận động viên  
atlantic	Đại tây dương  
atlas	tập bản   
atmosphere	tầng khí quyển  
atoll	đảo san hô vòng 
atom	nguyên tử   
atomicity	hoá trị   
atomism	thuyết nguyên tử  
atone	chuộc lỗi   
atonic	mất sức trương  
atop	ở đỉnh   
atrabiliar	rầu rĩ   
attach	gắn, dán   
attack	sự công kích  
attain	đạt tới   
attar	tinh dầu hoa hồng 
attempt	sự cố gắng  
attend	tham dự   
attention	sự chú ý  
attentive	lưu tâm   
attenuate	làm mỏng đi  
attitude	thái độ   
attract	hấp dẫn   
attraction	sức hút   
attribute	thuộc tính   
attribution	sự quy ra  
attune	làm cho hoà hợp 
aubur	màu nâu vàng  
auction	sự bán đấu giá 
audacious	mặt dạn mày dày 
audacity	sự trơ tráo  
audibility	độ nghe rõ  
audible	có thể nghe thấy 
audience	thính giả   
audience-chamber	phòng tiếp kiến  
audiogram	đồ thị nghe  
audion	đèn ba cực  
audiphone	máy tăng sức nghe 
audit	sự kiểm tra (sổ sách)
audition	thính giác   
auger	máy khoan   
augur	tiên đoán   
augury	linh cảm   
august	tháng tám   
aunt	cô, dì, thím  
aura	hiện tượng thoáng qua 
aureate	rực rỡ   
aurelia	con sứa   
aureola	hào quang   
austere	khắt khe, chặt chẽ 
australian	người Úc   
austrian	người Áo   
authentic	xác thực   
author	tác giả   
authority	quyền lực   
authorize	uỷ quyền   
autism	tính tự kỷ  
auto	xe ô tô  
auto-road	đường dành riêng cho ô
auto-suggestion	sự tự ám thị 
auto-transformer	máy tự biến thế 
autobiographer	người viết tự truyện 
autocatalysis	sự tự xúc tác 
autochthonal	bản địa   
autocracy	chế độ chuyên quyền 
autodidact	người tự học  
autograph	bản thảo viết tay 
autographic	tự viết tay  
automate	tự động hoá  
automatic	tự động   
autonomic	tự trị   
autonomy	sự tự quản  
autopilot	máy lái tự động 
autumn	mùa thu   
auxin	chất kích thích thực vật
avail	ích lợi   
availability	tính sẵn sàng để dùng
available	sẵn có để dùng 
avalanche	tuyết lở   
avan-courier	người phi ngựa trước 
avant-garde	những người đi tiên phong
avarice	tính tham lam  
avast	đứng lại   
avatar	sự hiện thân  
avenge	trả thù   
avenger	người báo thù  
avenue	đại lộ   
aver	quả quyết   
average	mức trung bình  
averse	chống lại   
aversion	ác cảm   
avert	ngoảnh đi   
aviarist	người nuôi chim  
aviation	hàng không   
avid	thèm khát   
avoid	tránh xa   
avouch	đảm bảo   
avulsion	sự nhổ bật ra 
await	chờ đợi   
awake	đánh thức   
award	phần thưởng   
aware	nhận thấy   
awash	bị sóng cuốn đi 
away	xa cách   
awe	nỗi kinh sợ  
awesome	đáng kinh sợ  
awful	khủng khiếp   
awhile	một lát   
awkward	vụng    
awry	méo    
ax	cái rìu   
axe	cái rìu   
axis	trục    
aye	trong mọi trường hợp 
azalea	cây khô   
azilian	thời kỳ azin  
azimuth	góc phương vị  
azoic	vô sinh   
azolla	bèo hoa dâu  
azure	trong xanh   
baa	tiếng be be (cừu)   
baa-lamb	khuấy khoán     
babble	tiếng bập bẹ    
babbler	người hay bép xép   
babe	trẻ sơ sinh    
babel	toà nhà cao    
baboon	khỉ đầu chó    
baby	trẻ thơ     
baby-farm	nhà giữ trẻ    
baby-jumper	cái khung tập đi   
baby-sit	giữ trẻ hộ    
babyhood	tuổi thơ     
babyish	trẻ con     
babyishness	tính trẻ con    
baccalaureate	bằng tú tài    
baccarat	trò chơi bacara    
baccy	thuốc lá     
bachelor	người chưa vợ    
bachelorhood	đời sống độc thân   
bachelorship	sự tốt nghiệp bằng tú tài 
bacillary	hình que     
back	lưng      
back	bench hàng ghế sau   
back	door cửa sau    
back	slang lời nói đảo   
backache	chứng đau lưng    
backbit	nói xấu sau lưng   
backbiter	kẻ      
backbiting	sự nói vụng    
backboard	ván hậu     
backbone	xương sống     
backfire	đốt lửa chặn    
background	nền      
backhanded	sấp tay     
backlog	dự trữ     
backmost	cuối cùng     
backslide	tái phạm     
backstairs	lối lén lút    
backstroke	sự bơi ngửa    
backtrack	rút lui     
backward	lạc hậu     
backwater	sự tù túng    
backway	con đường hẻm    
bacon	thịt lợn muối xông khói  
bacteria	vi khuẩn     
bacteriological	vi khuẩn học    
bacteriologist	nhà vi khuẩn học   
bacteriology	khoa nghiên cứu vi khuẩn  
bacteriolysis	sự tiêu vi khuẩn   
bacteriophage	vật ăn vi khuẩn   
baculine	bằng roi vọt    
bad	xấu      
bad-tempered	dễ nổi nóng    
bade	sự bỏ thầu    
badge	huy hiệu     
badinage	sự đùa cợt    
badly	tồi      
badminton	cầu lông     
baedeker	sổ tay hướng dẫn du lịch 
baffle	sự trở ngại    
bag	túi      
bagasse	bã mía     
bagatelle	vật không giá trị   
baggage	hành lý     
baggie	dạ dày     
bagman	người đi chào hàng   
bagpiper	người thổi kèn túi   
bail	người bảo lãnh    
bailer	gàu tát nước    
bait	bả      
bake	nướng bằng lò    
baker	người làm bánh mì   
baker-legged	có chân vòng kiềng   
bakery	hiệu bánh mì    
baking-powder	bột nở     
balaam	người đoán láo    
balance	sự thăng bằng    
bald	hói      
bald-coot	chim sâm cầm    
baldachin	màn treo     
bale	kiện hàng     
balk	sự cản trở    
ball	quả bóng     
ballet	ba lê     
balloon	khí cầu     
ballot-paper	lá phiếu     
balm	dầu thơm     
balm-cricket	con ve sầu    
balmily	thơm ngát     
bam	sự lừa bịp    
bamboo	cây tre     
ban	cấm      
banal	tầm thường     
banana	quả chuối     
banana	oil dầu chuối    
band	dải, băng     
bandage	 băng bó    
bandanna	khăn rằn     
bandeau	dải buộc tóc    
banderol	băng biểu ngữ    
bandicoot	chuột túi     
bandit	kẻ cướp     
bane	nguyên nhân suy sụp   
bang	tiếng nổ lớn    
banish	trục xuất     
bank	ngân hàng     
bankruptngười	vỡ nợ     
banner	ngọn cờ     
banquet	tiệc lớn     
baobab	cây baobap     
bar	quầy bán rượu    
barb	tơ      
barbarian	man rợ     
barbarous	dã man     
barbecue	vỉ để nướng    
bard	thi sĩ     
bare	trần truồng     
bargain	sự mặc cả    
barge	sà lan     
barie	thỏi      
bark	tiếng sủa     
barkery	nhà máy thuộc da   
barm	men rượu     
barn	kho thóc     
barrack	trại lính     
barracoon	trại giam tù khổ sai  
barrage	đập nước     
barrel	thùng rượu     
basal	cơ sở     
basalt	bazan      
bascule	máy nâng     
base	nền tảng     
bash	cú đánh mạnh    
basic	cơ bản     
basil	cây húng quế    
basin	cái chậu     
basket	cái rổ     
basketry	nghề đan rổ rá   
bass	giọng nam trầm    
bastard	đẻ hoang     
baste	phết mỡ lên    
bat	con dơi     
bath	bồn tắm     
baton	dùi cui     
battery	bộ pin     
battle	cuộc chiến đấu    
bauble	đồ trang sức loè loẹt rẻ tiền
baulk	xà nhà     
bawl	tiếng nói oang oang   
bay	vịnh      
bayonet	lưỡi lê     
be	thì, là     
beach	bãi biển     
bead	hạt hột     
beady	tròn nhỏ và sáng   
beagle	mật thám     
beaker	cốc vại     
beam	xà, rầm     
bean	đậu      
bear	con gấu     
beard	râu      
beast	súc vật     
beat	tiếng đập     
beautiful	đẹp      
beauty	sắc đẹp     
becalm	làm yên lặng    
became	trở thành     
because	bởi vì     
bechamel	nước xốt bêsamen    
beck	sự vẫy tay    
bed	cái giường     
bedable	vấy bẩn     
bedaub	vấy sơn     
bedeck	trang trí     
bedroom	buồng ngủ     
bedside	cạnh giường     
bee	con ong     
beech	gỗ sồi     
beef	thịt bò     
beefsteak	thịt bít tết    
beer	rượu bia     
befog	làm mờ     
before	đằng trước     
beg	ăn xin     
beggar	người ăn xin    
begin	bắt đầu     
behave	cư xử     
behaviour	cách đối xử    
beige	màu be     
being	sinh vật     
belabour	đánh nhừ tử    
belch	sự bùng lửa    
belgian	người Bỉ     
believe	tin tưởng     
belike	giống      
bell	cái chuông     
bellowskêu,	rống      
belong	thuộc về     
belongings	của cải     
beloved	được yêu quý    
below	ở bên dưới    
belt	dây đai     
bemire	vấy bùn     
bench	ghế dài     
bend	chỗ rẽ     
beneath	ở dưới     
benefit	lợi ích     
benevolent	rộng lượng     
bent	sở thích     
berate	mắng mỏ     
berry	quả mọng     
beslaver	bợ đỡ     
best	tốt nhất     
bet	sự đánh cuộc    
betel	cây trầu không    
beton	bê tông     
betray	phản bội     
between	ở giữa     
beware	cẩn thận     
bewilder	làm ngơ ngác    
beyond	ở xa     
biannual	một năm hai lần   
bias	đường chéo     
bicycle	xe đạp     
bid	sự trả giá    
biffin	táo đỏ     
big	to, lớn     
bigotry	sự tin mù quáng   
bike	đi xe đạp    
bile	tính cáu gắt    
bill	hoá đơn     
billiards	trò chơi bi-a    
billion	tỉ      
billionaire	nhà tỉ phú    
billow	sóng to     
binate	thành cặp     
bind	trói      
biographicaltiểu	sử      
biography	 lý lịch    
biology	sinh vật học    
bipolar	lưỡng cực     
bird	con chim     
birthday	lễ sinh nhật    
bis	lát nữa     
biscuit	bánh quy     
bit	miếng      
bitch	chó đẻ     
bite	sự cắn     
bitter	đắng      
blab	nói ba hoa    
black	đen      
blackboard	bảng đen     
blackmail	tống tiền     
blade	lưỡi dao     
blaeberry	cây việt quất    
blain	mụn mủ     
blame	lời trách mắng    
bland	mỉa mai     
blank	để trống     
blast	luồng hơi     
blaze	ngọn lửa     
bleach	tẩy trắng     
blend	pha trộn     
blind	đui mù     
blink	cái nháy mắt    
bliss	niềm vui sướng nhất   
blizzard	trận bão tuyết    
block	khối, tảng     
blood	máu      
blot	điểm yếu     
blouse	áo bờ-lu     
blow	cú đánh đòn    
blue	xanh trời     
blueprint	lên kế hoạch    
bluff	chất phác     
blunder	điều sai lầm    
blush	sự đỏ mặt    
board	bảng      
boat	tàu thuyền     
bob	kiểu cắt tóc ngắn quá vai 
bobbin	ông chỉ     
bock	bia đen     
body	thân thể     
boggy	bùn lầy     
bogy	yêu quái     
boil	sự sôi     
bolt	cái sàng     
bomb	quả bom     
bon-bon	kẹo      
bondage	cảnh tù tội    
bone	xương      
bonfire	lửa đốt rác    
bonito	cá ngừ     
bonus	tiền thưởng     
book	sách      
boom	sào căng buồm    
boor	người cục mịch    
boot	giày ống     
border	biên giới     
bore	lỗ khoan     
born	bẩm sinh     
borrow	vay, mượn     
botanical	thực vật học    
both	cả hai     
bottle	chai, lọ     
bottom	đáy      
boudoir	phòng khuê     
bound	biên giới     
bourbon	kẻ phản động    
bow	cái cung     
bowl	cái bát     
box	hộp      
boy	con trai     
boycott	tẩy chay     
bracelet	vòng tay     
brain	não      
brake	bụi cây     
branch	cành cây     
brash	đống mảnh vỡ    
brassard	băng tay     
brave	can đảm     
brawl	cãi nhau ầm ỹ   
breach	lỗ đạn     
bread	bánh mì     
break	sự dừng lại    
breakfast	bữa ăn sáng    
breast	ngực      
breath	hơi thở     
breathe	hít, thở     
bred	nòi, giống     
breech	khoá nòng     
breed	dòng dõi     
breeze	ruồi trâu     
brew	sự ủ     
briber	kẻ hối lộ    
brick	gạch      
bride	cô dâu     
bridegroom	chú rể     
bridesmaid	cô phù dâu    
bridge	cái cầu     
bridle	cương      
brief	vắn tắt     
brigand	kẻ cướp     
bright	sáng chói     
brillance	sự rực rỡ    
brim	vành      
brimstone	lưu huỳnh     
bring	mang      
brink	bờ miệng     
bristle	lông cứng     
broach	cái xiên     
broad	rộng      
broadcast	phát thanh     
brochure	cuốn sách mỏng    
bronze	đồng      
brother	anh, em trai    
brother-in-law	anh (em) rể    
brow	lông mày     
brown	nâu      
bruin	chú gấu     
brush	bàn chải     
bubble	bong bóng     
buck	cái lờ     
bucket	thùng, xô     
buddy	bạn thân     
budge	làm nhúc nhích    
budget	ngân quỹ     
buff	màu da bò    
buffalo	con trâu     
buffet	quán giải khát (ở ga)  
bug	sâu bọ     
build	sự xây dựng    
bulb	bóng đèn     
bulge	chỗ phình     
bulk	hàng hoá     
bull	bò đực     
bullace	cây mận rừng    
bum	đằng sau     
bump	sự va mạnh    
buoy	thả phao     
burberry	vải bơbơri     
burden	gánh nặng     
burglar	kẻ trộm đêm    
